"Day","Time","Wind","Visibility","Weather","Sky","Air.Temp","DewPt","Max6hr","Min6hr","Humidity","WindChill","AltimeterPressure","X1hrPrecip","X3hrPrecip","X6hrPrecip","Date","DateTime","HeatIndex","SeaLevelPressure"
"11","18:15","Calm","10","Fair","CLR","33","23",NA,NA,"66%",NA,"30.11",NA,NA,NA,"2013-02-11",2013-02-11 18:15:00,NA,NA
"11","17:55","Calm","10","Fair","CLR","35","23","41","35","62%",NA,"30.1",NA,NA,NA,"2013-02-11",2013-02-11 17:55:00,NA,NA
"11","17:35","Calm","10","Fair","CLR","36","23",NA,NA,"59%",NA,"30.09",NA,NA,NA,"2013-02-11",2013-02-11 17:35:00,NA,NA
"11","17:15","Calm","10","Fair","CLR","38","23",NA,NA,"55%",NA,"30.09",NA,NA,NA,"2013-02-11",2013-02-11 17:15:00,NA,NA
"11","16:55","NW 5","10","Fair","CLR","39","23",NA,NA,"53%","35","30.09",NA,NA,NA,"2013-02-11",2013-02-11 16:55:00,NA,NA
"11","16:35","NW 10 G 17","10","Fair","CLR","40","23",NA,NA,"51%","34","30.09",NA,NA,NA,"2013-02-11",2013-02-11 16:35:00,NA,NA
"11","16:15","Calm","10","Fair","CLR","40","23",NA,NA,"50%",NA,"30.09",NA,NA,NA,"2013-02-11",2013-02-11 16:15:00,NA,NA
"11","15:55","NW 13 G 17","10","Fair","CLR","40","23",NA,NA,"50%","32","30.1",NA,NA,NA,"2013-02-11",2013-02-11 15:55:00,NA,NA
"11","15:35","NW 14","10","Fair","CLR","40","23",NA,NA,"50%","32","30.1",NA,NA,NA,"2013-02-11",2013-02-11 15:35:00,NA,NA
"11","15:15","NW 14 G 18","10","Fair","CLR","40","23",NA,NA,"51%","32","30.1",NA,NA,NA,"2013-02-11",2013-02-11 15:15:00,NA,NA
"11","14:55","NW 13 G 20","10","Fair","CLR","41","23",NA,NA,"49%","34","30.1",NA,NA,NA,"2013-02-11",2013-02-11 14:55:00,NA,NA
"11","14:35","NW 16 G 24","10","Fair","CLR","40","23",NA,NA,"50%","32","30.1",NA,NA,NA,"2013-02-11",2013-02-11 14:35:00,NA,NA
"11","14:15","NW 13 G 21","10","Fair","CLR","40","23",NA,NA,"50%","32","30.11",NA,NA,NA,"2013-02-11",2013-02-11 14:15:00,NA,NA
"11","13:55","NW 12 G 20","10","Fair","CLR","40","23",NA,NA,"50%","33","30.11",NA,NA,NA,"2013-02-11",2013-02-11 13:55:00,NA,NA
"11","13:35","NW 15 G 21","10","Fair","CLR","40","22",NA,NA,"50%","32","30.11",NA,NA,NA,"2013-02-11",2013-02-11 13:35:00,NA,NA
"11","13:15","W 14 G 20","10","Fair","CLR","39","22",NA,NA,"51%","31","30.11",NA,NA,NA,"2013-02-11",2013-02-11 13:15:00,NA,NA
"11","12:55","W 18 G 22","10","Partly Cloudy","SCT030","39","22",NA,NA,"52%","30","30.11",NA,NA,NA,"2013-02-11",2013-02-11 12:55:00,NA,NA
"11","12:35","W 15 G 18","10","Partly Cloudy","SCT030","38","22",NA,NA,"53%","29","30.12",NA,NA,NA,"2013-02-11",2013-02-11 12:35:00,NA,NA
"11","12:15","W 15 G 21","10","Fair","CLR","38","22",NA,NA,"54%","29","30.12",NA,NA,NA,"2013-02-11",2013-02-11 12:15:00,NA,NA
"11","11:55","W 14 G 20","10","Fair","CLR","37","22","37","29","56%","28","30.13",NA,NA,NA,"2013-02-11",2013-02-11 11:55:00,NA,NA
"11","11:35","NW 16 G 23","10","Fair","CLR","36","22",NA,NA,"57%","26","30.13",NA,NA,NA,"2013-02-11",2013-02-11 11:35:00,NA,NA
"11","11:15","NW 16 G 22","10","Partly Cloudy","SCT025","35","22",NA,NA,"59%","25","30.12",NA,NA,NA,"2013-02-11",2013-02-11 11:15:00,NA,NA
"11","10:55","NW 14 G 21","10","Partly Cloudy","SCT025","34","21",NA,NA,"59%","25","30.12",NA,NA,NA,"2013-02-11",2013-02-11 10:55:00,NA,NA
"11","10:35","NW 18 G 23","10","Partly Cloudy","SCT023","34","21",NA,NA,"61%","23","30.11",NA,NA,NA,"2013-02-11",2013-02-11 10:35:00,NA,NA
"11","10:15","NW 13 G 21","10","Mostly Cloudy","BKN023","33","22",NA,NA,"63%","24","30.11",NA,NA,NA,"2013-02-11",2013-02-11 10:15:00,NA,NA
"11","09:55","NW 20 G 28","10","Partly Cloudy","SCT023","33","22",NA,NA,"63%","21","30.1",NA,NA,NA,"2013-02-11",2013-02-11 09:55:00,NA,NA
"11","09:35","NW 16 G 25","10","Partly Cloudy","SCT023","33","22",NA,NA,"64%","23","30.09",NA,NA,NA,"2013-02-11",2013-02-11 09:35:00,NA,NA
"11","09:15","NW 17 G 25","10","Fair","CLR","32","22",NA,NA,"66%","21","30.09",NA,NA,NA,"2013-02-11",2013-02-11 09:15:00,NA,NA
"11","08:55","NW 14 G 24","10","Partly Cloudy","SCT024","32","22",NA,NA,"67%","22","30.08",NA,NA,NA,"2013-02-11",2013-02-11 08:55:00,NA,NA
"11","08:35","NW 15 G 21","10","Partly Cloudy","SCT024","31","21",NA,NA,"68%","20","30.08",NA,NA,NA,"2013-02-11",2013-02-11 08:35:00,NA,NA
"11","08:15","NW 14 G 21","10","Fair","CLR","30","22",NA,NA,"72%","19","30.07",NA,NA,NA,"2013-02-11",2013-02-11 08:15:00,NA,NA
"11","07:55","NW 14 G 18","10","Fair","CLR","29","21",NA,NA,"72%","18","30.05",NA,NA,NA,"2013-02-11",2013-02-11 07:55:00,NA,NA
"11","07:35","NW 15","10","Fair","CLR","29","21",NA,NA,"73%","18","30.04",NA,NA,NA,"2013-02-11",2013-02-11 07:35:00,NA,NA
"11","07:15","NW 16 G 22","10","Partly Cloudy","SCT025","30","22",NA,NA,"72%","19","30.03",NA,NA,NA,"2013-02-11",2013-02-11 07:15:00,NA,NA
"11","06:55","NW 15 G 20","10","Overcast","OVC025","30","22",NA,NA,"72%","19","30.02",NA,NA,NA,"2013-02-11",2013-02-11 06:55:00,NA,NA
"11","06:35","NW 18 G 26","10","Overcast","OVC025","31","22",NA,NA,"70%","19","30.02",NA,NA,NA,"2013-02-11",2013-02-11 06:35:00,NA,NA
"11","06:15","NW 21 G 28","10","Overcast and Breezy","OVC025","31","22",NA,NA,"70%","18","30.01",NA,NA,NA,"2013-02-11",2013-02-11 06:15:00,NA,NA
